author,name,material,technic,genre,style,v_size,h_size,year,price
Ovcharenko Eduard,Spring,Холст,Масло,Landscape,Impressionism,80,60,2015,9880
Ovcharenko Eduard,March in the Park,Холст,Масло,Landscape,Expressionism,60,40,2003,9880
Ovcharenko Eduard,Melody. Listening To Bach,Картон,Масло,Portrait,Impressionism,70,110,1958,9880
Skopov Yuri,Suprematist signal,Холст,Масло,Abstraction,Abstract art,101,60.5,1994,2540
Skubko Sergey,Autumn in the mountains,Холст,Масло,Landscape,Impressionism,80,60,1961,2540
Skubko Sergey,Sunny day in Suzdal,Холст,Масло,Landscape,Impressionism,60,70,1981,2540
Krasheninnikov Alexander,Impenetrable forest,Холст,Масло,Landscape,Realism,75,60,1994,1240
Fedosov Nikita,Trinity-Sergius Lavra,Холст,Масло,Landscape,Impressionism,49,35,Unknown,2540
"Tishin Vyacheslav,Horace’s Tree,""Canvas, the"",Print,Landscape,Conceptual art,100,100,2019,540"
Tishin Vyacheslav,Rainbow,Canvas,Print,Abstraction,Abstract art,40,60,2008,250
"Tishin Vyacheslav,Enlightened bears (diptych And You Can!),""Polycarbonate, metal, LED"",Art-object,Genre painting,Conceptual art,150,120,2019,9040"
Tishin Vyacheslav,OOP,Plastic,Print,Genre painting,Conceptual art,100,80,2011,540
Tishin Vyacheslav,UFO89,Canvas,Print,Genre painting,Abstract art,50,70,2014,360
Tishin Vyacheslav,Our Avangard brings love and obedience,Polycarbonate,Acrylic,Genre painting,Conceptual art,107,115,2020,4700
"Tishin Vyacheslav,Inversion of Watermelon Line,""Hardboard, acrylic"",Collage,Abstraction,Conceptual art,68,88,2018,"
"Tishin Vyacheslav,There is a Choice,MDF,""Acrylic, collage"",Genre painting,Conceptual art,88,122,2016,7230"
"Tishin Vyacheslav,Welcome (diptych And You Can!),""Polycarbonate, metal, LED"",Art-object,Portrait,Conceptual art,180,60,2018,6870"
Tishin Vyacheslav,Sacrifices,Fiberboard,Collage,Abstraction,Conceptual art,58,33,2011,6870
Kovba Nadya,Cuba,Холст,Масло,Abstraction,Abstract art,100,120,2019,1930
"Kovba Nadya,The harmony of the earth,Планшет,""Масло, смолы"",Abstraction,Abstract art,130,130,2019,5900"
"Kovba Nadya,Oil. Diptych 1 part,Холст,""Масло, смолы"",Abstraction,Abstract art,160,90,2019,3380"
Ardakov Georgiy,Girlfriends,Canvas,Oil,Portrait,Realism,80,110,1956,8570
Grassi Marco,LOVE BACK,Canvas,Oil,Nude and erotic,Expressionism,45,40,2012,10000
Kerkeladze Niko,Winemaker,Canvas,Oil,Genre painting,Naive art,50,65,2016,500
Firsov Aleksey,Unloading cement,Cardboard,Oil,Landscape,Realism,39,52.5,1950,1710
Terekhin Vladimir,Sower,Canvas,Oil,Genre painting,Conceptual art,80.5,101,1985,500
Romanova Anita,On the edge of feelings,Холст,Масло,Genre painting,Expressionism,80,60,2019,5150
Romanova Anita,Echoes of the past,Холст,Масло,Genre painting,Impressionism,60,80,2019,4290
Romanova Anita,Bridges,Холст,Масло,Landscape,Expressionism,70,90,2019,5150
Romanova Anita,At the limit,Холст,Масло,Genre painting,Impressionism,70,60,2019,4290
Romanova Anita,Monochrome,Холст,Масло,Landscape,Expressionism,70,90,2019,5570
Romanova Anita,Moscow morning,Холст,Масло,Landscape,Impressionism,80,50,2019,3860
Lejnikov Yuriy,Rostov Veliky,paper,watercolor,Landscape,Realism,39,56,1976,1650
Sonali Pithawe,A part of life,Canvas,Oil,Abstraction,Abstract art,55,37.5,2017,1870
Filippov Yuriy,Bakhilova glade,Cardboard,Oil,Landscape,Realism,41,60,1971,9810
Merinov Aleksey,Sunset in Gurzuf,Canvas,Oil,Landscape,Expressionism,59.5,79.5,2000,1200
Filippov Yuriy,Rocks in the mountains Sokol,paper,pastel,Landscape,Realism,60,47,2004,10000
"Filippov Yuriy,Old tree number 1,paper,""watercolor,смеш.техника"",Landscape,Realism,60,78,1971,10000"
Romanova Anita,Path to the unknown,Холст,Масло,Landscape,Impressionism,100,80,2019,7290
